"idPreguntaAmbiente","enunciado","idTipoAmbiente","urlImagen","orden"
"38","Instalar pisos en una casa","1","38-Instalar-pisos-en-una-casa.png","38"
"39","Estudiar formas de reducir la contaminacion del ag","2","39-Estudiar-formas-de-reducir-la-contaminacion-del-agua.png","39"
"40","Desarrollar un nuevo procedimiento para tratamient","2","40-Desarrollar-un-nuevo-procedimiento-para-tratamiento-medico.png","40"
"41","Ejecutar rutinas de comedia en frente de una audie","3","41-Ejecutar-rutinas-de-comedia-en-frente-de-una-audiencia.png","41"
"42","Actuar como un extra en una pelicula o show de tel","3","42-Actuar-como-un-extra-en-una-pelicula-o-show-de-television.png","42"
"43","Enseñar en basica primaria","4","43-ensenar-en-basica-primaria.png","43"
"44","Dar orientacion vocacional a las personas","4","44-Dar-orientacion-vocacional-a-las-personas.png","44"
"45","Realizar una presentación de un producto que este ","5","45-Realizar-una-presentacion-de-un-producto-que-este-vendiendo.png","45"
"46","Comprar y vender tierras","5","46-Comprar-y-vender-tierras.png","46"
"47","Transferir fondos entre bancos usando un software ","6","47-TRANFERIR-TRABAJOS-USANDO-SOFWARE-DE-COMPUTADOR.png","47"
"48","Programar reuniones de oficina","6","48-programar-reuniones-de-oficina.png","48"
"49","Cargar pescado en una pesqueria","1","49-cargar-pescado-en-una-pescaderia.png","49"
"50","Construir un muro de ladrillos","1","50-CONSTRUIR-UN-MURO-DE-LADRILLO.png","50"
"51","Determinar el promedio de infeccion de una nueva e","2","51-Determinar-el-promedio-de-infeccion-de-una-nueva-enfermedad.png","51"
"52","Estudiar rocas y minerales","2","52-Estudiar-rocas-y-minerales.png","52"
"53","Escribir ensayos de libros o juegos","3","53-Escribir-ensayos-de-libros-o-juegos.png","53"
"54","Componer o arreglar musica","3","54-Componer-o-arreglar-musica.png","54"
"55","Supervisar actividades de niños en un campo","4","55-supervisar-actividades-de-ninos-en-un-campo.png","55"
"56","Ayudar a gente con problemas familiares","4","56-AYUDAR-AGENTE-CON-PROBLEMAS-FAMILIARES.png","56"
"57","Vender discos compactos en un almacen de musica","5","57-vender-discos-compactos-de-musica.png","57"
"58","Administrar un almacen de juguetes","5","58-Administrar-un-almacen-de-juguetes.png","58"
"59","Usar un procesador de texto para editar documentos","6","59-usar-un-procesador-de-texto-para-editar-un-documento.png","59"
"60","Usar una calculadora","6","60-usar-una-calculadora.png","60"
"61","Ensamblar partes electronicas","1","61-Ensamblar-partes-electronicas.png","61"
"62","Conducir un camión para entregar paquetes en ofici","1","62-conducir-un-camion-para-entregar-paquetes-en-oficina-o-casas.png","62"
"63","Diagnosticar o tratar enfermedades de animales","2","63-diagnosticar-o-tratar-enfermedades-de-animales..png","63"
"64","Estudiar personalidades de lideres mundiales","2","64-Estudiar-personalidades-de-lideres-mundiales.png","64"
"65","Actuar en una película","3","65-actuar-en-una-novela.png","65"
"66","Bailar en un show de Broadway","3","66-BAILAR-EN-UN-SHOW-DE-BROADWAY.png","66"
"67","Hacer terapia de rehabilitacion","4","67-hacer-terapia-de-reabilitacion.png","67"
"68","Ser voluntario en una organización sin animo de lu","4","68-Ser-voluntario-en-una-organizacion-sin-animo-de-lucro.png","68"
"69","Gerenciar la operación de un hotel","5","69-gerenciar-la-operacion-de-un-hotel.png","69"
"70","Vender casas","5","70-veder-casas.png","70"
"71","Transferir llamadas en una gran organización","6","71-Transferir-llamadas-en-una-gran-organizacion.png","71"
"72","Ejecutar tareas de archivado en una oficina","6","72-Ejecutar-tareas-de-archivado-en-una-oficina.png","72"
"73","Pintar casas","1","73-Pintar-casas.png","73"
"74","Hacer cumplir las leyes de defensa a practicas de ","1","74-Hacer-cumplir-las-leyes-de-defensa-a-practicas-de-caza-deportiva.png","74"
"75","Conducir experimentos quimicos","2","75-Conducir-experimentos-quimicos.png","75"
"76","Conducir investigaciones biologicas","2","76-conducir-investigaciones-biologicas.png","76"
"77","Pintar cuadros","3","77-pintando-cuadros.png","77"
"78","Cantar profesionalmente","3","78-Cantar-profesionalmente.png","78"
"79","Ayudar a gente anciana con los problemas de su vid","4","79-Ayudar-a-gente-anciana-con-los-problemas-de-su-vida-diaria.png","79"
"80","Enseñar a los niños a como jugar un deporte","4","80-Ensenar-a-los-ninos-como-jugar-un-deporte.png","80"
"81","Vender palomitas de maiz y dulces en un encuentro ","5","81-Vender-palomitas-de-maiz-y-dulces-en-un-encuentro-deportivo.png","81"
"82","Gerenciar un supermercado","5","82-Gerenciar-un-supermercado.png","82"
"83","Computar y registrar datos numericos y calculos es","6","83-computar-regustrar-datos-numericos-y-calculos-estadisticos.png","83"
"84","Generar los pagos mensuales de cheques de una ofic","6","84-generar-los-pagos-mensuales-de-cheques-de-una-oficina.png","84"
"85","Operar una maquina de ensamble","1","85-Operar-una-maquina-de-ensamble.png","85"
"86","Trabajar en un pozo petrolero, extrayendo petroleo","1","86-Trabajar-en-un-pozo-petrolero-extrayendo-petroleo.png","86"
"87","Estudiar el crecimiento de la poblacion de una ciu","2","87-Estudiar-el-crecimiento-de-la-poblacion-de-una-ciudad.png","87"
"88","Estudiar ballenas y otros tipos de vida marina","2","88-Estudiar-ballenas-y-otros-tipos-de-vida-marina.png","88"
"89","Realizar acrobacias en moto para una pelicula o pr","3","89-Realizar-acrobacias-en-moto-para-una-pelicula-o-programa-de-TV.png","89"
"90","Crear efectos especiales para una pelicula","3","90-Crear-efectos-especiales-para-una-pelicula.png","90"
"91","Ayudar a la gente para superar problemas diarios e","4","91-Ayudar-a-la-gente-para-superar-problemas-diarios-en-su-vida.png","91"
"92","Enseñar a cantar a gente con problemas auditivos","4","92-Ensenar-a-cantar-gente-con-problemas-auditivos-codigo-8.png","92"
"93","Gerenciar un departamento de una gran compañía","5","93-Gerenciar-un-departamento-de-una-gran-compania.png","93"
"94","Vender bebidas suves o licores","5","94-Vender-bebidas-suves-o-licores1.png","94"
"95","Tomar notas durante una reunion","6","95-Tomar-notas-durante-una-reunion.png","95"
"96","Mantener almacenar y recibir registros","6","96-imagen-de-ALMACENAR-Y-RECIBIR-REGISTROS.png","96"
"97","Ejecutar defensas como un abogado de alguien","1","97-ejecutar-defensas-como-un-abogado.png","97"
"98","Ensamblar productos en una fabrica","1","98-Ensamblar-productos-en-una-fabrica.png","98"
"99","Investigar Crimenes","2","99-Investigar-Crimenes.png","99"
"100","Estudiar el movimiento de los planetas","2","100-Estudiar-el-movimiento-de-los-planetas.png","100"
"101","Conducir un coro musical","3","101-Conducir-un-coro-musical.png","101"
"102","Ser parte de un juego","3","102-Ser-parte-de-un-juego.png","102"
"103","Ayudar a gente que tenga problemas con drogas o al","4","103-Ayudar-a-gente-que-tenga-problemas-con-drogas-o-alcohol.png","103"
"104","Conducir un grupo de terapistas ","4","104-Conducir-un-grupo-de-terapistas-valeria-otoya.png","104"
"105","Vender refrescos en un teatro durante una pelicula","5","105-Vender-refrescos-en-un-teatro-durante-una-pelicula.png","105"
"106","Vender productos para cuidado del cabello en almac","5","106-Vender-productos-para-cuidar-el-cabello-en-almasenes-y-salones.png","106"
"107","Calcular los salarios de los empleados (trabajar e","6","107-Calcular-los-salarios-de-los-empleados-(trabajar-en-nomina).png","107"
"108","Trabajar en contabilidad","6","108-trabajar-en-contabilidad.png","108"
"109","Ser miembro de un club de pesca","1","109-ser-miembro-de-un-club-de-pesca.png","109"
"110","Arreglar o restaurar muebles","1","110-arreglar-o-restaurar-muebles.png","110"
"111","Examinar muestras de sangre usando un microscopio","2","111-Examinar-muestras-de-sangre-usando-un-microscopio.png","111"
"112","Investigar la causa de un fuego","2","112-causas-del-fuego.png","112"
"113","Pintar conjuntos para juegos","3","113-Pintar-conjuntos-para-juegos.png","113"
"114","Realizar audicion de cantantes para un coro musica","3","114-Realizar-audicion-de-cantantes-para-un-coro-musical.png","114"
"115","Proveer masajes a las personas","4","115-hacer-masajes-a-personas.png","115"
"116","Ayudar a personas con problemas familiares","4","116-Ayudar-a-personas-con-problemas-familiares.png","116"
"117","Crear su propio negocio","5","117-Crear-su-propio-negocio.png","117"
"118","Negociar contratos de negocio","5","118-Negociar-Contratos-de-Negocio-Yancarlo-Galindez-Hurtado-11-A.png","118"
"119","Etiquetar sobres y paquetes","6","119-etiquetar-sobres-y-paquetes.png","119"
"120","Realizar inventarios con un computador de mano","6","120-Realizar-inventarios-con-un-computador-de-mano.png","120"
"121","Arreglar un plafon roto","1","121-Arreglar-un-plafon-roto.png","121"
"122","Hacer servicio de mantenimiento o limpieza","1","122-hacer-servicio-de-mantenimiento-o-limpieza.png","122"
"123","Estudiar la estructura del cuerpo humano","2","123-Estudiar-la-estructura-del-cuerpo-humano.png","123"
"124","Desarrollar perfil psicologico de criminales","2","124-Desarrollar-perfil-psicologico-de-criminales.png","124"
"125","Diseñar conjuntos para juegos","3","125-Disenar-conjuntos-para-juegos-Vanessa-J.png","125"
"126","Anunciar un show de radio","3","126-Anunciar-un-show-de-radio.png","126"
"127","Planear ejercicios para pacientes discapacitados","4","127-planear-ejercicios-para-pacientes-descapacitados.png","127"
"128","Aconsejar a gente con problemas familiares","4","128-Aconsejar-a-gente-con-problemas-familiares.png","128"
"129","Representar a un cliente en un juicio","5","129-REPRECENTAR-A-UN-CLIENTE-EN-UN-JUICIO.png","129"
"130","Negociar contratos de profesionales atletas","5","130-Negociar-contratos-de-profesionales-atletas.png","130"
"131","Desarrollar un sistema de archivo de una oficina","6","131-Desarrollar-un-sistema-de-archivo-de-una-oficina.png","131"
"132","Manetener registros de transacciones financieras d","6","132-mantener-registros-de-transacciones-financieras-de-una-organizacion.png","132"
"133","Mantener las zonas verdes de un parque","1","133-Mantener-las-zonas-verdes-de-un-parque.png","133"
"134","Operar una maquina de produccion en linea","1","134-Operar-una-maquina-de-produccion-en-linea.png","134"
"135","Desarrollar una forma de predecir el clima","2","135-Desarrollar-una-forma-de-predecir-el-clima.png","135"
"136","Trabajar en un laboratorio biologico","2","136-Trabajar-en-un-laboratorio-biologico.png","136"
"137","Escribir libretos para peliculas o programas de te","3","137-Escribir-libretos-para-peliculas-o-programas-de-television.png","137"
"138","Escribir una cancion","3","138-Escribir-una-cancion.png","138"
"139","Enseñar a trabajar y desarrollar habilidades para ","4","139-Ensenar-a-trabajar-y-desarrollar-habilidades-para-la-vida-a-gente-discapacitada.png","139"
"140","Organizar actividades en un centro recreacional","4","140-Organizar-actividades-en-un-centro-recreacional.png","140"
"141","Ser responsable por la operación de una gran compa","5","141-Ser-responsable-por-la-operacion-de-una-gran-compania.png","141"
"142","Mercadear una nueva linea de ropa","5","142-Mercadear-una-nueva-linea-de-ropa.png","142"
"143","Registrar cargos a la cuenta de un cliente","6","143-Registrar-cargos-a-la-cuenta-de-un-cliente.png","143"
"144","Fotocopiar","6","144-Fotocopiar.png","144"
"145","Fumigar arboles para prevenir insectos","1","145-Fumigar-arboles-para-prevenir-insectos.png","145"
"146","Evaluar la calidad de un embarque antes de enviarl","1","146-Evaluar-la-calidad-de-un-embarque-antes-de-enviarlo.png","146"
"147","Inventar un reemplazo para el azucar","2","147-Inventar-un-reemplazo-para-el-azucar.png","147"
"148","Estudiar genetica","2","148-Estudiar-genetica.png","148"
"149","Ejecutar una rutina de jazz","3","149-Ejecutar-una-rutina-de-jazz.png","149"
"150","Dirigir una pelicula","3","150-Dirigir-una-pelicula.png","150"
"151","Cuidar niños en una guarderia","4","151-Cuidar-ninos-en-una-guarderia.png","151"
"152","Organizar viajes para gente discapacitada","4","152-Organizar-viajes-para-gente-discapacitada.png","152"
"153","Vender avisos en periodico","5","153-Vender-avisos-en-periodico.png","153"
"154","Vender mercancias en el departamento de un almacen","5","154-Vender-mercancias-en-el-departamento-de-un-almacen.png","154"
"155","Registrar pagos de renta","6","155-Registrar-pagos-de-renta.png","155"
"156","Entrar informacion en una base de datos","6","156-Entrar-informacion-en-una-base-de-datos.png","156"
"157","Operar una lancha de motor","1","157-Operar-una-lancha-de-motor.png","157"
"158","Reparar e instalar cerraduras","1","158-Reparar-e-instalar-cerraduras.png","158"
"159","Estudiar gobiernos de diferentes paises","2","159-Estudiar-gobiernos-de-diferentes-paises.png","159"
"160","Investigar plantas y animales","2","160-Investigar-plantas-y-animales.png","160"
"161","Cantar en una banda","3","161-Cantar-en-una-banda.png","161"
"162","Diseñar arte para una revista","3","162-Disenar-arte-para-una-revista.png","162"
"163","Asistir a doctores en tratamiento de pacientes","4","163-Asistir-a-doctores-en-tratamiento-de-pacientes.png","163"
"164","Trabajar con jovenes en libertad condicional","4","164-Trabajar-con-jovenes-en-libertad-condicional.png","164"
"165","Vender automoviles","5","165-Vender-automoviles.png","165"
"166","Gerenciar un almacen de ropa","5","166-Gerenciar-un-almacen-de-ropa.png","166"
"167","Mantener registros de inventarios","6","167-Mantener-registros-de-inventarios.png","167"
"168","Mantener registros de empleados","6","168-Mantener-registros-de-empleados.png","168"
"169","Configurar y operar una maquina para hacer product","1","169-Configurar-y-operar-una-maquina-para-hacer-productos.png","169"
"170","Apagar incendios","1","170-Apagar-incendios.png","170"
"171","Hacer pruebas de laboratorio par identificar enfer","2","171-Hacer-pruebas-de-laboratorio-par-identificar-enfermedades.png","171"
"172","Estudiar las condiciones del clima","2","172-Estudiar-las-condiciones-del-clima.png","172"
"173","Editar peliculas","3","173-Editar-peliculas.png","173"
"174","Posar para un fotografo","3","174-Posar-para-un-fotografo.png","174"
"175","Proveer terapia fisica para recuperar a alguien de","4","175-Proveer-terapia-fisica-para-recuperar-a-alguien-de-una-lesion.png","175"
"176","Enseñar en basica secundaria","4","176-Ensenar-en-basica-secundaria.png","176"
"177","Vender franquicias a individuos","5","177-Vender-franquicias-a-individuos.png","177"
"178","Vender partes de computador en un almacen","5","178-Vender-partes-de-computador-en-un-almacen.png","178"
"179","Estampar organizar y distribuir correo en una orga","6","179-Estampar-organizar-y-distribuir-correo-en-una-organizacion.png","179"
"180","Sostener transacciones bancarias con clientes.","6","180-Sostener-transacciones-bancarias-con-clientes.png","180"
